"category_name","category_code","category_parent","category_description"
"IAB1","IAB1","","Arts & Entertainment"
"IAB1-1","IAB1_1","IAB1","Books & Literature"
"IAB1-2","IAB1_2","IAB1","Celebrity Fan/Gossip"
"IAB1-3","IAB1_3","IAB1","Fine Art"
"IAB1-4","IAB1_4","IAB1","Humor"
"IAB1-5","IAB1_5","IAB1","Movies"
"IAB1-6","IAB1_6","IAB1","Music"
"IAB1-7","IAB1_7","IAB1","Television"
"IAB2","IAB2","","Automotive"
"IAB2-1","IAB2_1","IAB2","Auto Parts"
"IAB2-2","IAB2_2","IAB2","Auto Repair"
"IAB2-3","IAB2_3","IAB2","Buying/Selling Cars"
"IAB2-4","IAB2_4","IAB2","Car Culture"
"IAB2-5","IAB2_5","IAB2","Certified Pre-Owned"
"IAB2-6","IAB2_6","IAB2","Convertible"
"IAB2-7","IAB2_7","IAB2","Coupe"
"IAB2-8","IAB2_8","IAB2","Crossover"
"IAB2-9","IAB2_9","IAB2","Diesel"
"IAB2-10","IAB2_10","IAB2","Electric Vehicle"
"IAB2-11","IAB2_11","IAB2","Hatchback"
"IAB2-12","IAB2_12","IAB2","Hybrid"
"IAB2-13","IAB2_13","IAB2","Luxury"
"IAB2-14","IAB2_14","IAB2","Minivan"
"IAB2-15","IAB2_15","IAB2","Motorcycles"
"IAB2-16","IAB2_16","IAB2","Off-Road Vehicles"
"IAB2-17","IAB2_17","IAB2","Performance Vehicles"
"IAB2-18","IAB2_18","IAB2","Pickup"
"IAB2-19","IAB2_19","IAB2","Road-Side Assistance"
"IAB2-20","IAB2_20","IAB2","Sedan"
"IAB2-21","IAB2_21","IAB2","Trucks & Accessories"
"IAB2-22","IAB2_22","IAB2","Vintage Cars"
"IAB2-23","IAB2_23","IAB2","Wagon"
"IAB3","IAB3","","Business"
"IAB3-1","IAB3_1","IAB3","Advertising"
"IAB3-2","IAB3_2","IAB3","Agriculture"
"IAB3-3","IAB3_3","IAB3","Biotech/Biomedical"
"IAB3-4","IAB3_4","IAB3","Business Software"
"IAB3-5","IAB3_5","IAB3","Construction"
"IAB3-6","IAB3_6","IAB3","Forestry"
"IAB3-7","IAB3_7","IAB3","Government"
"IAB3-8","IAB3_8","IAB3","Green Solutions"
"IAB3-9","IAB3_9","IAB3","Human Resources"
"IAB3-10","IAB3_10","IAB3","Logistics"
"IAB3-11","IAB3_11","IAB3","Marketing"
"IAB3-12","IAB3_12","IAB3","Metals"
"IAB4","IAB4","","Careers"
"IAB4-1","IAB4_1","IAB4","Career Planning"
"IAB4-2","IAB4_2","IAB4","College"
"IAB4-3","IAB4_3","IAB4","Financial Aid"
"IAB4-4","IAB4_4","IAB4","Job Fairs"
"IAB4-5","IAB4_5","IAB4","Job Search"
"IAB4-6","IAB4_6","IAB4","Resume Writing/Advice"
"IAB4-7","IAB4_7","IAB4","Nursing"
"IAB4-8","IAB4_8","IAB4","Scholarships"
"IAB4-9","IAB4_9","IAB4","Telecommuting"
"IAB4-10","IAB4_10","IAB4","U.S. Military"
"IAB4-11","IAB4_11","IAB4","Career Advice"
"IAB5","IAB5","","Education"
"IAB5-1","IAB5_1","IAB5","7-12 Education"
"IAB5-2","IAB5_2","IAB5","Adult Education"
"IAB5-3","IAB5_3","IAB5","Art History"
"IAB5-4","IAB5_4","IAB5","College Administration"
"IAB5-5","IAB5_5","IAB5","College Life"
"IAB5-6","IAB5_6","IAB5","Distance Learning"
"IAB5-7","IAB5_7","IAB5","English as a 2nd Language"
"IAB5-8","IAB5_8","IAB5","Language Learning"
"IAB5-9","IAB5_9","IAB5","Graduate School"
"IAB5-10","IAB5_10","IAB5","Homeschooling"
"IAB5-11","IAB5_11","IAB5","Homework/Study Tips"
"IAB5-12","IAB5_12","IAB5","K-6 Educators"
"IAB5-13","IAB5_13","IAB5","Private School"
"IAB5-14","IAB5_14","IAB5","Special Education"
"IAB5-15","IAB5_15","IAB5","Studying Business"
"IAB6","IAB6","","Family & Parenting"
"IAB6-1","IAB6_1","IAB6","Adoption"
"IAB6-2","IAB6_2","IAB6","Babies & Toddlers"
